21 16677806834.0 16689413456.484 16967972396.1 16970335015.0 16996742270.6 17011990424.936 17012625764.7 16925096456.080002
42 16778155969.7 16786815380.576 16994641241.6 17002573023.3 17004551627.9 17028326385.308 17029317000.2 16961847772.540003
333 16740336870.6 16748801727.736 16951958299.0 17007900782.7 17014340864.1 17029803490.5 17030447766.6 16948996916.6
1333 16967475494.6 16969806617.812 17025753574.9 17027062851.6 17034353750.5 17039164620.868 17039365073.8 17018802149.079998
2667 16942169184.3 16942171919.067999 16942237553.5 16992797665.2 17016225003.5 17043297006.86 17044425007.0 16987570882.7
10667 16946829774.8 16948558985.744 16990060048.4 17015275470.2 17023577650.1 17034467281.651999 17034921016.3 17002132791.960001
21334 16919455189.3 16921943764.939999 16981669580.3 16985954318.3 16989217837.2 17012032764.911999 17012983386.9 16977856062.4
42667 16994198142.4 16994942510.44 17012807343.4 17012843848.3 17020983320.4 17029389056.976 17029739296.0 17014114390.1
64000 16910555816.6 16913976553.144001 16996074230.2 16997532468.2 17025585154.3 17047666500.604 17048586556.7 16995666845.2
85333 16978449070.6 16978676983.272001 16984146887.4 16990317791.9 17015921828.9 17020277424.068 17020458907.2 16997858897.2
106666 16856421913.3 16862115756.675999 16998767997.7 17001199943.3 17018344392.7 17022167068.636 17022326346.8 16979412118.76
128000 16942432381.0 16944953003.688 17005447948.2 17010436426.9 17014828165.3 17027929430.932 17028475317.0 17000324047.679998
149333 16908386934.4 16912641016.584 17014738989.0 17031640319.1 17034136024.6 17035559889.304 17035619217.0 17004904296.820002
170666 16959724011.8 16960417996.071999 16977073618.6 17013601888.4 17017935298.5 17024680202.82 17024961240.5 16998659211.560001
192000 16898931142.3 16901835697.199999 16971545014.8 17010065105.2 17021556654.1 17025795589.300001 17025972211.6 16985614025.6
213333 16995680953.9 16995825159.92 16999286104.4 17007399546.7 17022505813.9 17046863049.868 17047877934.7 17014550070.720001
234667 16888685155.0 16892288336.792 16978764699.8 16990094572.3 17016743084.8 17026970104.0 17027396229.8 16980336748.34
256000 16971209457.0 16971479346.3 16977956689.5 17012303919.1 17012932667.0 17013907357.496 17013947969.6 16997670140.439999
277333 16937925059.1 16939593348.316 16979632289.5 16998075467.9 16999978647.6 17023189355.472 17024156468.3 16987953586.48
298666 16968808488.7 16969793179.512001 16993425759.0 17000889417.4 17009081090.1 17018370986.964 17018758066.0 16998192564.24
330000 16914636529.7 16917473446.356 16985559446.1 17018619939.1 17031548956.6 17035859694.328 17036039308.4 16997280835.980001
