21 110204960082.0 110206001883.82 110225796118.4 110257050173.0 110294196942.8 110317723230.34 110318961456.0 110260323903.66667
42 110256280873.0 110267495234.46 110480568102.2 110816998946.0 111323054904.2 111643557011.06 111660425543.0 110911235120.66667
333 109386549319.0 109389444327.54 109444449489.8 109531299746.0 109655741787.8 109734555080.94 109738703149.0 109552184071.33333
1333 99872228518.0 99879323047.94 100014119116.8 100226955015.0 100824863566.8 101203538982.94 101223469268.0 100440884267.0
2667 97765979857.0 97777002349.54 97986429707.8 98317104484.0 98634562009.6 98835618442.48 98846200360.0 98309761567.0
10667 94268189089.0 94290805309.88 94720513506.6 95399000133.0 95983316369.4 96353383319.12 96372860527.0 95346683249.66667
21334 90142462609.0 90205720526.82 91407620965.4 93305358500.0 94062081645.8 94541339638.14 94566563743.0 92671461617.33333
42667 92873575998.0 92927052922.66 93943114491.2 95547422231.0 96349897868.0 96858132438.1 96884881626.0 95101959951.66667
64000 95435787106.0 95437128659.94 95462618184.8 95502864803.0 96601545991.4 97297377410.72 97334000117.0 96090884008.66667
85333 95274083735.0 95278778485.5 95367978745.0 95508821260.0 95547314733.4 95571693933.22 95572977049.0 95451960681.33333
106666 92966921357.0 92999878953.32 93626073283.4 94614801173.0 95729813444.6 96435987883.28 96473154959.0 94684959163.0
128000 94149237184.0 94159550080.94 94355495122.8 94664882031.0 94800267475.8 94886011590.84 94890524439.0 94568214551.33333
149333 90591097929.0 90681857684.4 92406293037.0 95129085699.0 95891870906.4 96374968204.42 96400394378.0 94040192668.66667
170666 92338348303.0 92385225692.82 93275896099.4 94682217794.0 95168510171.0 95476495343.1 95492705089.0 94171090395.33333
192000 93666017538.0 93704387916.8 94433425114.0 95584536478.0 99638416648.6 102205874089.98 102341003429.0 97197185815.0
213333 94424265501.0 94426345757.98 94465870640.6 94528278350.0 94958611463.6 95231155768.88 95245500206.0 94732681352.33333
234667 93626930527.0 93647920314.48 94046726276.6 94676419901.0 98016681768.2 100132180950.76 100243523013.0 96182291147.0
